Au%,Ag%,Cu%,Co%,Ni%,Pt%,Pd%,Sn%,Phases,Interfaces
51,49,0,0,0,0,0,0,1,0
51,49,0,0,0,0,0,0,1,0
51,49,0,0,0,0,0,0,1,0
44,0,56,0,0,0,0,0,1,0
0,55,45,0,0,0,0,0,2,1
33,39,28,0,0,0,0,0,2,1
53,0,47,0,0,0,0,0,1,0
0,55,45,0,0,0,0,0,2,1
48,43,9,0,0,0,0,0,1,0
36,39,25,0,0,0,0,0,1,0
36,39,25,0,0,0,0,0,2,1
33,39,28,0,0,0,0,0,2,1
48,26,26,0,0,0,0,0,2,1
50,0,0,0,0,0,50,0,1,0
0,0,0,0,50,50,0,0,1,0
0,0,0,0,50,0,50,0,1,0
0,0,0,50,0,50,0,0,1,0
0,0,0,50,0,0,50,0,1,0
0,0,0,50,50,0,0,0,1,0
50,0,0,0,50,0,0,0,2,1
33,33,0,0,0,0,33,0,1,0
48,52,0,0,0,0,0,0,1,0
55,0,0,45,0,0,0,0,2,1
54,0,0,0,46,0,0,0,2,1
49,0,51,0,0,0,0,0,1,0
0,42,58,0,0,0,0,0,2,1
0,57,0,0,43,0,0,0,2,1
0,63,0,37,0,0,0,0,2,1
0,0,58,0,42,0,0,0,1,0
0,0,41,59,0,0,0,0,2,1
0,0,0,60,40,0,0,0,1,0
23,0,17,0,60,0,0,0,2,1
25,19,0,56,0,0,0,0,2,1
21,0,35,44,0,0,0,0,2,1
32,0,0,29,39,0,0,0,2,1
0,48,0,28,24,0,0,0,2,1
0,50,25,0,25,0,0,0,2,1
0,0,33,52,15,0,0,0,2,1
24,24,0,0,52,0,0,0,2,1
0,35,38,27,0,0,0,0,3,2
29,37,34,0,0,0,0,0,2,1
32,19,27,0,22,0,0,0,3,2
0,27,22,35,16,0,0,0,3,2
26,22,0,16,36,0,0,0,2,1
15,29,18,38,0,0,0,0,3,2
23,0,42,16,19,0,0,0,2,1
19,24,28,14,15,0,0,0,3,2
40,40,0,0,20,0,0,0,2,1
33,33,0,0,33,0,0,0,2,1
25,25,0,0,50,0,0,0,2,1
17,17,0,0,66,0,0,0,2,1
10,10,0,0,80,0,0,0,2,1
0,35,38,27,0,0,0,0,3,2
0,39,45,16,0,0,0,0,3,2
0,25,45,30,0,0,0,0,3,2
0,14,45,41,0,0,0,0,3,2
10,45,45,0,0,0,0,0,3,2
30,35,35,0,0,0,0,0,2,1
50,25,25,0,0,0,0,0,3,2
70,15,15,0,0,0,0,0,1,0
0,33,33,33,0,0,0,0,3,2
0,43,19,38,0,0,0,0,3,3
20,40,40,0,0,0,0,0,2,1
20,20,20,20,20,0,0,0,3,2
20,20,20,20,20,0,0,0,3,2
30,0,0,37,0,0,19,14,3,3
30,0,0,24,0,0,26,17,3,3
0,23,47,30,0,0,0,0,3,2
0,0,29,34,0,0,21,16,3,2
0,30,30,0,0,0,27,13,3,3
0,33,0,23,0,0,27,17,3,3
0,32,20,21,0,0,15,12,4,4
30,19,29,22,0,0,0,0,3,2
12,30,28,0,0,0,20,10,3,3
6,10,0,24,0,0,39,21,3,3
13,0,27,30,0,0,15,15,3,3
18,16,20,23,0,0,13,10,4,5
0,0,0,13,35,0,26,26,3,3
37,0,0,18,36,0,9,0,3,3
29,0,0,17,19,0,20,15,3,3
25,0,0,0,24,0,20,31,3,3
20,0,0,11,30,0,21,18,4,6
50,0,0,50,0,0,0,0,2,1
57,0,0,0,0,0,27,16,2,1
0,0,0,66,0,0,17,17,2,1
0,23,47,30,0,0,0,0,3,2
24,0,0,27,0,0,24,25,3,3
30,0,0,26,0,0,30,14,3,3
30,0,0,29,0,0,30,11,3,3
38,0,0,33,0,0,23,6,3,3
32,0,0,34,0,0,34,0,2,1
24,0,0,58,0,0,9,9,3,3
38,0,0,42,0,0,10,10,3,3
59,0,0,19,0,0,11,11,3,3
40,0,0,24,0,0,18,18,3,3
20,0,0,25,0,0,28,27,3,3
23,0,0,42,0,0,18,17,3,3
57,0,0,17,0,0,16,10,3,3
33,0,0,34,0,0,18,15,3,3
32,0,0,34,0,0,34,0,2,1
29,0,0,33,0,0,38,0,2,1
31,0,0,34,0,0,21,14,3,2
33,0,0,29,0,0,25,13,3,2
33,0,0,33,0,0,17,17,3,2
33,0,0,33,0,0,22,12,3,2
32,0,0,31,0,0,23,14,4,4
32,0,0,31,0,0,23,14,3,3
27,0,0,34,0,0,27,12,4,4
27,0,0,34,0,0,27,12,3,2
31,0,0,27,0,0,27,15,3,2
30,0,0,26,0,0,28,16,3,2
30,0,0,28,0,0,27,15,3,2
32,0,0,40,0,0,26,12,3,3
32,0,0,34,0,0,30,4,2,1
57,0,0,0,0,0,27,16,2,1
0,55,0,0,0,0,26,19,2,1
0,0,46,0,0,0,39,15,2,1
0,0,0,50,0,0,32,18,2,1
0,0,0,0,32,0,37,31,2,1
21,32,0,0,0,0,32,15,2,1
31,0,0,34,0,0,21,14,3,3
25,0,0,0,24,0,20,31,3,3
24,0,38,0,0,0,25,13,2,1
0,30,30,0,0,0,27,13,3,3
0,22,0,0,24,0,21,33,3,3
0,43,0,23,0,0,23,11,3,3
0,0,33,0,32,0,16,19,2,1
0,0,29,34,0,0,21,16,3,2
0,0,0,38,23,0,18,21,2,1
12,30,28,0,0,0,20,10,3,3
12,0,19,0,26,0,23,20,3,3
6,10,0,24,0,0,39,21,3,3
20,16,0,0,21,0,19,24,3,3
25,0,25,18,0,0,22,10,3,3
24,0,0,21,15,0,17,23,3,3
0,25,25,0,20,0,16,14,3,3
0,32,20,21,0,0,15,12,4,4
0,0,38,15,12,0,20,15,3,2
0,31,0,18,13,0,21,17,3,3
16,9,18,0,15,0,22,20,4,5
0,25,16,16,15,0,17,11,4,4
10,19,0,19,15,0,20,17,3,3
18,16,20,23,0,0,13,10,4,5
14,0,18,22,16,0,17,13,3,3
16,13,16,15,15,0,15,10,3,3
0,23,47,30,0,0,0,0,3,2
0,0,29,34,0,0,21,16,3,2
0,30,30,0,0,0,27,13,3,3
0,33,0,23,0,0,27,17,3,3
0,28,23,23,0,0,16,10,4,4
0,31,19,21,0,0,17,12,4,5
0,29,21,22,0,0,17,11,4,5
11,15,17,28,0,0,19,10,4,5
17,15,17,23,0,0,18,10,4,5
17,12,22,0,14,0,19,16,4,5
0,0,0,13,35,0,26,26,3,3
37,0,0,18,36,0,0,9,3,3
29,0,0,17,19,0,20,15,3,3
25,0,0,0,24,0,20,31,3,3
18,0,0,14,33,0,18,17,4,6
17,0,0,11,33,0,24,15,4,6
18,0,0,9,33,0,25,15,4,6
20,0,0,12,32,0,20,16,4,6
0,0,59,0,0,41,0,0,1,0
0,0,0,0,41,59,0,0,1,0
0,0,19,0,19,62,0,0,1,0
54,0,0,0,0,46,0,0,2,1
0,0,51,0,0,49,0,0,1,0
0,0,0,0,53,47,0,0,1,0
36,0,34,0,0,30,0,0,1,0
36,0,0,0,32,32,0,0,2,1